Logon_Count_Daily,After_Hours_Activity_Pct,Remote_Access_Count,USB_Connect_Count,File_Copy_To_USB_Count,Sensitive_File_Access_Count,Email_Sent_Count,Email_External_Recipient_Pct,Email_Attachment_Total_MB,Web_Tech_Count,Web_Social_Count,Web_CloudStorage_Count,Web_Sus_Count,Print_Jobs_Count,Fail_Logon_Count,Label,Is_Anomaly
1,0.07712029241018854,1,0,1,5,22,0.25967060329373876,19.021028377868173,36,12,3,0,0,1,Benign,0
1,0.08716624649623865,0,0,0,6,29,0.32283987254682966,5.88564663265724,57,7,3,1,1,0,Benign,0
1,0.03766801839893622,1,0,0,6,21,0.11460681044180583,5.480563972195303,36,11,0,0,0,0,Benign,0
2,0.009313693299206786,0,1,1,4,27,0.2933004318321643,7.049090963750717,38,7,2,0,0,0,Benign,0
2,0.08437887897689422,0,1,0,2,15,0.26604711889761384,3.458114175376363,39,10,0,1,1,0,Benign,0
2,0.03160570941696776,0,0,0,7,23,0.07033428837435013,1.2516210357562738,35,10,2,1,0,0,Benign,0
1,0.07492759593247712,1,1,0,2,26,0.20127376116008266,2.58189476763464,30,6,5,0,2,0,Benign,0
1,0.011692586376173557,0,0,0,5,19,0.27331229527931267,3.9959518801112592,40,13,1,0,1,0,Benign,0
4,0.01028284121466202,1,0,0,5,23,0.0955412363803428,6.999200850383588,33,9,5,0,2,0,Benign,0
1,0.0961126722392863,0,0,0,4,31,0.10586001470943229,3.621883670464572,39,6,1,0,0,1,Benign,0
5,0.03871062514887354,1,0,1,3,26,0.11303503740206762,0.8524064221770759,37,9,2,0,0,0,Benign,0
1,0.047218614918539716,0,0,0,8,21,0.21587167422268586,12.145882170653094,47,8,0,0,0,0,Benign,0
1,0.0984786793640029,0,1,0,4,21,0.16476202677688714,7.200459278031475,45,10,6,0,0,0,Benign,0
2,0.058923175089762254,0,0,1,1,28,0.09161002339965744,1.1558666678455927,40,14,3,0,2,1,Benign,0
1,0.11288722967279072,0,1,0,7,27,0.4904056852632855,3.8178009903045482,32,11,3,1,1,0,Benign,0
1,0.061888351470648535,0,0,0,2,25,0.17287981507587347,0.6885473185809323,33,10,2,0,4,1,Benign,0
1,0.023166732532808737,0,0,0,3,24,0.2682776314837129,0.6377639329286338,35,13,2,0,0,0,Benign,0
5,0.49515361899604504,4,2,0,14,3,0.05070989823293476,1.9077079875440683,105,8,0,10,0,20,Attack_InsiderSabotage,1
1,0.052430456882922374,0,0,1,6,31,0.09126514888350394,0.7770914324361021,34,13,1,0,1,0,Benign,0
2,0.0011303093069192306,0,0,0,2,22,0.1453566318617209,3.55403726581735,36,9,2,0,0,0,Benign,0
5,0.7070501974252091,0,0,0,9,3,0.034765548723990757,1.3289716959215072,99,6,0,19,0,15,Attack_InsiderSabotage,1
2,0.014602823011810791,0,0,0,9,18,0.07814974332447383,4.698342501528767,37,7,4,0,1,1,Benign,0
2,0.00809379456467238,1,1,1,6,26,0.1482618400889797,4.206354794818249,45,13,2,0,0,0,Benign,0
2,0.4262731324107761,4,0,0,11,6,0.022372426501805452,0.39150668324463844,103,10,1,24,0,15,Attack_InsiderSabotage,1
3,0.06891732390247948,0,0,0,5,23,0.05860511645794643,4.968349893395652,43,8,2,0,2,1,Benign,0
7,0.1984187496333478,1,0,0,11,8,0.1467028553913037,0.5606194245873692,89,4,0,15,0,25,Attack_InsiderSabotage,1
3,0.03390838040365628,0,0,0,2,25,0.11546420244159192,0.31673377603263475,29,13,2,0,4,0,Benign,0
3,0.065346436922763,0,1,1,1,31,0.30904983911160855,0.6223824247275831,52,13,1,0,1,0,Benign,0
2,0.0027462135374492864,0,0,1,7,22,0.052798347698044715,0.43852723063606563,46,10,1,0,0,1,Benign,0
1,0.8742912237509057,10,7,238,610,30,0.7782231804228187,226.6440684987707,15,3,161,1,63,1,Attack_DataExfiltration,1
1,0.002525427990461665,0,1,1,4,30,0.23399437402605525,1.659269040779136,47,10,2,0,0,0,Benign,0
1,0.00781893920700182,0,0,0,6,26,0.5412481493375112,1.4226953320277322,29,10,4,0,1,2,Benign,0
1,0.11246484682465634,0,0,3,6,24,0.1293433224778618,2.713269511857083,42,14,3,0,0,0,Benign,0
3,0.06374962447184121,0,0,0,5,26,0.20696092476047448,17.67700175503573,39,8,2,0,0,0,Benign,0
2,0.01486220336041964,0,0,0,5,26,0.16514046640398616,0.21274518356627656,34,12,4,0,0,0,Benign,0
1,0.06683101872054978,0,0,0,4,29,0.09174226586095877,0.3188730530354042,45,14,0,0,2,0,Benign,0
1,0.02669021673184168,1,0,2,5,16,0.07785345065809898,1.4396596120430343,47,3,2,0,1,0,Benign,0
1,0.02236947370751297,0,0,0,7,22,0.4658676182951968,5.037205918506148,40,10,5,0,0,0,Benign,0
1,0.0010098406716398413,0,0,0,6,23,0.029482969571232816,3.490901720603621,40,15,1,0,1,0,Benign,0
2,0.018863622101355802,1,0,1,13,24,0.25212241205280916,5.414770533392996,47,8,2,0,2,0,Benign,0
2,0.10544857830567361,1,0,0,3,32,0.3257471081933811,0.5062948732164957,31,14,0,0,0,1,Benign,0
2,0.014440501651581271,0,0,1,7,27,0.5235800369309478,3.8722037555299433,41,12,2,0,0,0,Benign,0
2,0.02147251230383829,0,0,1,6,26,0.23322022744696794,6.02587901206092,38,7,1,0,1,0,Benign,0
2,0.00823997847240918,0,0,1,6,29,0.11438295767671469,1.170511548370487,57,7,2,0,0,0,Benign,0
1,0.9496332085280274,7,2,252,609,16,0.645308787944204,131.71547580236057,13,5,196,0,57,1,Attack_DataExfiltration,1
1,0.006633412376935241,0,0,0,6,17,0.04342732995475057,2.383459656383919,45,10,2,0,0,1,Benign,0
3,0.010916552196228259,0,1,0,3,24,0.12374125612684911,1.084504945701848,49,10,0,0,0,1,Benign,0
1,0.0025898241566552336,0,0,3,5,24,0.2612408554207176,8.52004884914389,44,4,1,0,1,0,Benign,0
