files_created_sec,files_deleted_sec,files_modified_sec,files_renamed_sec,bytes_written_sec,bytes_read_sec,write_entropy_mean,file_extension_change_rate,access_sensitive_dir_rate,mass_deletion_indicator,encryption_ratio,shadow_copy_access_rate,mft_anomaly_score,symlink_creation_rate,alternate_data_stream_writes,macro_execution_indicators,high_freq_read_write_ratio,temp_folder_exec_rate,system32_modification_rate,Label,Attack_Type
2.3409,0.8165,0.0423,1.9231,0.2883,112.6516,3.7025,0.452,0.2189,2.3544,0.1969,0.2531,0.7167,0.0378,0.8642,0.0279,2.9408,0.1686,1.7802,1,DataExfiltration
0.8217,0.3348,0.8175,1.2296,2.6221,1.9248,3.4394,1.4445,0.5175,0.5981,0.4159,2.1082,0.4264,1.9965,1.5851,5.384,0.3765,6.9671,0.3645,1,FilelessStager
0.5575,2.6747,0.0025,0.4438,0.2092,0.6057,4.4249,0.1853,0.1808,1.1917,0.0716,0.075,1.9657,0.1565,0.4189,1.0665,0.164,3.1629,0.3106,0,Benign
1.4148,0.1348,0.118,0.7406,0.2787,0.2468,5.1527,0.7492,4.3614,1.0154,1.0084,0.2287,3.9677,4.3511,0.5407,0.0616,0.2078,0.2301,0.7931,0,Benign
2.9953,0.0409,0.0722,0.272,1.8139,3.2623,3.238,1.1641,0.8807,0.134,0.1179,2.3364,0.2024,0.117,0.5824,1.2809,0.8081,0.7169,0.4032,0,Benign
0.5756,0.221,1.0709,0.0733,1.8077,0.9756,2.5253,1.119,0.2421,0.3146,0.0962,0.1201,1.1868,0.5091,0.6509,1.7196,0.585,0.4359,0.0451,0,Benign
0.0757,0.7845,0.5082,0.269,1.0011,0.1586,3.9061,0.7575,3.4834,0.0417,0.254,0.5761,0.403,0.6115,0.3077,0.7332,0.2493,0.1844,1.0232,0,Benign
0.9755,0.5446,0.4025,1.2404,0.0498,0.0272,3.4082,0.4866,0.2134,1.0939,1.4171,3.8749,0.3825,0.1491,1.9827,1.282,0.6054,1.4905,0.9743,0,Benign
1.8697,0.3941,0.8086,1.9284,0.2073,2.7664,2.3588,1.0984,0.9486,1.2606,0.1746,2.1055,0.2306,1.9486,0.561,0.6343,0.516,1.7329,0.1575,0,Benign
0.3008,0.0309,0.8509,0.0524,0.5369,1.1666,4.0516,0.3477,0.2542,0.0516,1.9973,1.5385,0.2346,0.0178,0.9519,0.575,0.1787,1.9319,5.132,0,Benign
0.0772,0.365,0.0423,0.1774,1.0967,0.2009,2.384,0.0564,1.1488,0.6516,0.2428,0.9043,0.2577,0.2375,0.4146,0.0134,0.3679,0.5914,0.5579,0,Benign
0.215,0.3259,0.181,1.4097,1.0146,0.3966,4.5643,0.0242,0.0468,1.5313,0.7161,0.0565,0.5825,0.2075,0.4916,0.8318,0.1028,1.7841,0.9546,0,Benign
0.5081,0.8119,1.3171,0.4641,1.761,1.6441,2.1402,0.6943,1.6568,1.4811,0.1156,1.334,0.2778,0.4844,3.036,3.6969,0.758,10.1651,1.2937,1,FilelessStager
1.9792,0.7752,0.299,0.2558,0.3024,0.3331,3.3093,0.2529,2.3141,1.7002,3.217,0.0294,1.0258,0.9484,0.2634,0.3464,0.3798,1.147,1.3962,0,Benign
0.4225,0.684,0.2782,3.1434,0.1126,0.0562,3.8146,1.0921,0.2714,0.2388,1.8576,0.0956,1.2912,1.4289,1.4731,0.0264,0.1758,4.5181,1.12,0,Benign
1.2444,1.1759,0.2918,2.1742,1.8911,1.5567,4.0634,1.1632,0.2946,0.8206,0.1852,3.8132,1.0912,0.8556,0.2868,7.2568,0.9169,0.682,0.9308,0,Benign
2.6068,0.7704,0.0686,0.1708,0.6132,1.182,3.6776,0.303,1.2048,0.6125,0.2546,0.1167,1.1776,0.3079,0.4235,1.117,0.7939,0.8817,0.8394,0,Benign
1.0885,1.2878,1.982,1.4514,0.1058,1.9777,3.2026,0.5905,1.6383,1.4749,0.7898,0.0875,1.69,0.9129,0.8776,1.1663,0.7266,0.6956,2.116,0,Benign
0.0201,0.7596,0.4792,2.6537,0.3709,0.9142,2.2621,0.305,0.417,1.4432,1.316,0.2208,1.2085,0.1099,2.2616,0.4007,0.3842,0.5409,2.3986,0,Benign
0.8835,1.3552,0.6093,0.8725,0.6363,1.7447,4.4318,0.7413,1.1947,0.1924,0.2885,5.2529,0.8703,1.7277,0.6572,2.3844,0.3669,3.001,0.9184,0,Benign
0.2476,0.9533,0.0884,0.433,0.8099,1.9475,3.3658,0.5559,0.8119,0.1855,0.5608,0.1119,1.3559,1.2145,2.3898,0.5901,0.1413,0.1856,0.0817,0,Benign
1.5925,1.5243,0.353,0.1682,1.5088,0.4391,2.5277,1.8083,2.1945,0.6801,0.733,0.3637,0.9551,0.6273,0.9174,1.5564,0.2312,0.5969,0.1196,0,Benign
8.2484,2.6416,0.1205,1.5013,1.013,0.7784,7.4887,0.9332,1.9819,0.1052,0.2135,2.1376,2.1054,4.2413,0.3991,2.3971,0.7927,1.038,4.0779,1,ZeroDay_FileDrop
1.1009,0.2091,2.9043,2.3942,0.0635,0.4942,2.6846,0.4682,1.2536,0.2692,1.4827,0.5738,0.8714,0.6671,4.2086,0.8936,0.3331,0.927,6.1782,1,Persistence_Files
1.2901,4.3419,0.6383,0.8214,0.4877,0.1689,3.4071,0.4874,1.2495,0.8438,0.6647,0.003,1.64,1.3339,0.3188,0.9118,0.387,1.2073,1.2779,0,Benign
0.4613,0.7113,0.8826,0.3048,0.6807,14.9518,4.173,2.6241,2.306,0.6707,0.0864,0.0539,2.7503,0.8127,3.7621,0.3509,1.3789,1.906,0.6546,1,DataExfiltration
0.2933,0.402,2.2466,0.0543,1.0551,0.3286,3.3838,0.2004,2.2262,0.2237,1.3968,2.3641,0.8404,1.5446,1.8628,1.5101,0.5041,0.0446,2.0926,0,Benign
1.0811,0.1975,0.9263,1.2887,0.5937,0.422,4.8016,0.6928,0.2707,3.1509,1.3564,1.2376,1.159,0.0501,0.5647,0.5158,0.4837,0.3702,0.9358,0,Benign
1.1836,0.0613,0.5926,1.3417,0.2051,0.2075,2.9234,0.3323,0.363,0.4171,0.6183,1.047,0.4921,2.7333,0.8104,0.0707,0.3517,1.566,1.3335,0,Benign
0.6322,0.924,4.4943,1.6903,0.7896,1.1657,2.5611,0.5676,1.0032,0.9646,1.0847,1.4744,3.1621,0.1849,1.1066,2.0858,0.8392,0.045,0.1373,0,Benign
0.5665,1.0516,1.1488,1.0338,0.9709,0.3411,3.6636,0.3649,0.0987,0.0803,0.2778,1.5152,0.9744,0.2664,1.6573,1.5294,0.2419,0.4193,0.7552,0,Benign
1.3331,0.0409,0.5708,1.6836,1.187,1.1323,3.3079,0.3736,0.4078,0.223,2.1558,0.4664,0.2736,2.921,0.0575,1.934,0.1823,1.8739,3.8191,0,Benign
0.5552,2.0923,0.51,1.0192,1.6248,1.0747,3.5758,0.1455,0.1391,0.2841,0.3728,0.1372,0.1353,0.5595,1.4017,1.3863,0.9084,1.5848,0.266,0,Benign
0.8665,1.5589,0.851,2.3379,0.5177,1.1886,1.9594,0.9515,0.2691,1.7952,0.6727,0.246,0.1737,1.9943,1.6733,0.316,0.8784,0.1946,0.34,0,Benign
1.1752,1.0341,0.5513,0.902,3.0047,0.8027,3.918,1.9596,0.7865,0.5788,0.0881,0.9507,1.2167,0.2794,1.8051,4.4382,0.4196,0.2358,1.8559,0,Benign
0.0315,0.1618,1.9394,0.807,0.0719,0.5407,2.568,0.4969,1.0537,0.4699,1.1168,0.6664,0.574,0.3088,0.4439,0.3294,0.7449,0.2818,0.0672,0,Benign
0.2281,1.2926,0.709,1.4986,0.2296,0.2649,4.0602,0.7579,1.023,0.5112,2.6753,1.3624,0.1631,0.9934,2.2278,4.6018,0.1151,6.0276,0.0451,1,Malicious_Macro
0.6042,0.8339,0.5725,0.2094,1.3619,0.5343,3.4828,2.4884,1.1591,0.367,0.7816,0.0662,0.8025,0.3471,0.9888,1.7254,0.3491,0.0375,0.6722,0,Benign
0.4467,0.2164,63.3023,18.0141,0.7794,1.9747,7.9899,4.1411,0.3152,0.2871,2.1904,8.0831,0.5071,0.3065,0.644,0.1505,0.6557,1.1619,1.8913,1,Ransomware
1.0901,68.8598,0.9777,0.0373,0.1208,1.3168,3.4057,1.3317,1.1717,10.152,0.2816,3.4441,10.7583,0.2424,0.2539,0.6774,0.7266,1.0937,0.1274,1,Wiper
1.4722,0.0444,1.8919,0.2485,1.8265,2.2616,4.172,0.4618,0.9973,2.552,1.307,1.2364,1.4393,0.2657,1.588,1.85,0.5733,0.4808,0.2512,0,Benign
0.0157,2.7259,83.531,25.1258,0.6093,0.6746,7.7995,9.2932,0.8949,0.0352,1.4868,4.0719,2.6406,3.2692,0.066,1.0265,0.9059,0.6634,1.6723,1,Ransomware
1.1899,0.1393,0.7205,0.9572,0.483,0.2527,3.6211,0.6664,0.0958,0.4746,1.7029,0.5195,0.6919,0.3961,0.6106,0.6493,0.8881,0.1436,2.4935,0,Benign
0.5125,0.9385,0.8607,0.0856,2.4288,1.027,3.9899,0.7227,0.6199,0.8252,0.3473,0.0307,0.1402,1.3673,3.1687,8.5131,0.9932,3.9265,0.8242,1,FilelessStager
0.1949,1.9331,3.5588,0.9831,1.5884,0.1729,4.0935,0.2735,0.9755,1.1284,1.0014,0.5828,0.2802,0.6645,0.9726,0.1272,0.1339,0.6932,0.6954,0,Benign
1.7713,0.1479,0.2501,0.1407,0.1175,1.4252,3.7601,2.7783,0.0197,1.3128,1.4934,0.2427,3.204,0.7307,0.6268,0.2759,0.3321,2.8846,0.9696,0,Benign
0.9475,0.3108,1.5196,0.2688,2.7917,4.132,4.8659,0.6683,0.0382,0.1283,0.1588,3.2445,2.6505,0.969,1.4639,0.3071,0.6404,2.5627,2.3615,0,Benign
1.9287,0.8945,0.3251,0.7032,0.066,1.4778,4.0535,1.5431,0.0269,3.2533,0.6079,2.7941,0.0973,1.9532,0.0457,0.2977,0.7363,0.4509,0.1219,0,Benign
0.3234,0.8448,0.2492,0.7439,1.0023,0.0712,4.2161,0.2685,2.3421,0.2011,0.9864,0.3031,1.7762,0.1412,0.7867,0.8332,0.2839,0.9906,0.1212,0,Benign
0.5652,0.672,0.0508,0.1606,0.4998,2.4353,3.9965,1.3059,0.9826,0.5245,7.1353,0.0403,0.3778,0.0496,2.2825,3.3715,0.5856,9.1616,0.0287,1,Malicious_Macro
0.7475,0.4723,0.2506,0.5896,0.095,0.6214,2.7682,1.3907,23.0004,0.7826,3.9106,1.189,2.7842,0.3235,3.1288,1.2122,0.34,1.7018,3.4658,1,Persistence_Files
0.2789,0.9098,0.2843,0.2564,1.2374,0.0746,4.4578,0.5142,1.653,0.9128,0.2018,0.1048,1.3423,0.7905,1.8595,3.0228,0.9491,0.0578,0.1431,0,Benign
0.5906,0.4974,0.167,0.0572,0.8577,0.9294,3.7845,0.0818,0.4825,1.6191,3.2681,1.2111,0.3937,1.5907,3.5151,0.1877,0.8996,0.8126,0.074,0,Benign
0.2135,4.0624,0.1289,3.0803,1.2124,1.6728,4.3374,1.5256,1.7853,0.7574,2.0347,0.4559,0.4286,0.531,0.9865,0.1414,0.6891,0.592,0.0995,0,Benign
1.1285,1.1691,0.8456,0.2498,4.2551,0.9334,5.4925,1.3326,2.514,0.2317,0.0584,1.8586,1.0977,0.0766,2.7133,0.3577,0.8369,1.0545,0.1851,0,Benign
2.1491,1.9096,0.7745,1.1533,0.4285,2.1651,3.3881,2.898,1.1199,1.0516,1.256,0.0282,1.9157,1.9194,2.2462,0.4941,0.6613,1.3036,2.1007,0,Benign
0.1332,0.6375,0.5637,0.4908,1.3313,2.2376,3.8587,0.5516,0.5151,1.6633,0.9944,0.0103,0.2322,2.8695,1.9794,1.2597,0.4976,0.5447,0.5864,0,Benign
0.1295,0.5122,1.4619,1.6808,1.2363,3.863,3.8449,0.4758,1.0459,0.8609,1.0303,0.9546,0.6876,1.2989,2.1892,0.2016,0.3149,0.0868,0.4947,0,Benign
3.5799,1.8195,0.2769,0.1642,0.3549,0.3203,3.9304,0.1499,2.8166,0.7376,0.772,0.7308,0.0216,1.2479,0.1857,1.111,0.1568,0.6653,1.6583,0,Benign
0.1995,2.3185,0.4013,1.7233,0.5145,0.0019,2.5314,0.4373,1.0294,1.8731,1.5109,0.9261,0.965,0.0846,1.5741,0.5654,0.4401,0.2006,1.8427,0,Benign
0.4985,1.3802,0.586,2.4519,0.0219,3.8755,3.6816,0.2413,2.3023,0.2665,0.0632,0.0582,0.0801,0.2806,0.2069,0.6836,0.3612,1.1508,1.2185,0,Benign
1.2857,2.4521,0.1839,0.2997,0.7683,0.5145,2.7512,0.7228,0.0811,0.1746,1.186,0.5915,1.718,2.5108,1.4998,0.8788,0.5848,0.428,0.8905,0,Benign
0.7724,0.0564,2.1205,0.2153,1.9129,0.4328,3.964,0.6097,0.8479,5.4827,0.4915,1.2627,0.1184,0.304,0.719,1.2815,0.2298,0.3015,0.177,0,Benign
0.2589,1.3161,0.0371,0.0997,0.858,1.2807,4.5069,1.0169,3.5337,6.0594,1.1713,0.1839,0.5901,0.9727,4.9732,0.212,0.798,2.2968,2.8873,1,Persistence_Files
0.7786,1.2111,0.1702,0.7851,0.9645,3.4937,3.0916,1.3288,0.0952,1.2374,0.1458,0.7639,1.2761,0.1631,1.3684,1.1362,0.3823,1.3269,1.4647,0,Benign
0.8796,0.5838,0.418,1.8587,1.3161,2.7264,3.9384,2.8266,9.0768,0.6076,0.6537,0.5624,0.0651,0.1078,2.6084,0.1715,0.4658,0.1963,3.1835,1,Persistence_Files
0.0976,0.2923,0.2796,2.9797,0.723,0.2809,2.6285,0.5114,0.205,0.191,0.447,0.8998,0.3886,1.9479,0.8692,0.0143,0.3549,0.1495,0.8541,0,Benign
4.0104,0.0532,0.3653,0.0435,0.2628,1.4398,1.4925,1.4571,0.3756,1.6993,1.5553,0.0662,0.0555,0.4683,0.7488,0.0573,0.178,5.1072,0.3535,0,Benign
0.3775,1.4784,0.8842,2.9204,0.6067,0.6098,2.4805,0.1305,0.2183,0.1702,2.1705,0.4087,0.9611,1.3254,1.0183,0.4447,0.1326,0.2739,0.865,0,Benign
0.097,0.7572,0.0109,0.0954,0.4127,0.9153,3.5508,0.0448,0.5785,0.4581,0.9738,0.3302,1.9163,0.4479,2.2907,0.099,0.3103,0.882,1.7828,0,Benign
1.2654,0.6738,0.3859,0.455,0.1235,0.4688,2.3613,0.5633,1.7946,0.4397,1.6731,0.5196,1.4079,1.0882,0.3763,1.6543,0.5876,0.5272,0.6402,0,Benign
0.9975,0.5577,0.2615,1.3525,0.2149,0.5853,3.3267,0.5204,0.5344,0.1243,0.9046,1.1906,0.368,0.9688,0.6679,0.5012,0.2497,0.4472,1.786,0,Benign
2.6305,0.3727,2.417,1.3165,0.2522,0.3587,3.0298,2.0889,0.1035,0.7956,0.0745,0.4664,0.1097,0.516,0.7979,0.1816,0.5214,0.2783,2.9233,0,Benign
1.5141,3.0075,0.019,1.3278,0.5479,0.2674,3.2562,0.778,0.7554,0.3447,0.9748,0.487,0.4011,1.7536,1.863,0.1616,0.12,0.3459,0.3749,0,Benign
0.1563,1.5237,0.9397,2.2274,0.8863,0.4026,3.5286,0.7093,0.0127,0.3632,1.1848,0.3782,0.2891,3.1735,0.9134,0.1144,0.105,0.1484,0.6733,0,Benign
0.039,1.9213,2.1882,0.3053,2.631,0.6255,3.5977,1.4369,0.8198,0.1828,0.7416,0.865,0.0326,5.4064,6.5611,2.5884,0.7268,8.1242,0.1411,1,FilelessStager
3.0859,1.3783,0.6836,2.3665,0.9913,3.3286,4.9412,1.0577,0.0009,0.6663,0.9079,1.4868,1.5022,1.238,1.2891,2.0087,0.1436,0.139,0.5633,0,Benign
1.0387,0.1304,5.481,0.83,0.3809,0.9118,2.8741,0.4743,0.1091,2.2263,1.2272,3.3678,0.6627,1.1318,1.6922,0.3169,0.431,0.0547,1.7382,0,Benign
1.5919,0.6861,0.857,0.4581,0.3486,0.6825,4.1352,0.0367,0.121,1.8425,2.3677,1.8442,0.3173,0.5962,4.4176,5.8355,0.5691,5.4614,3.5404,1,FilelessStager
0.5078,0.3019,1.4135,0.9897,0.3932,0.3747,4.2948,2.9229,0.1017,1.8544,0.1438,0.1613,2.0711,1.4484,0.4874,0.1531,0.4789,1.3935,0.0413,0,Benign
1.5075,1.7511,0.3332,2.6081,0.9427,0.94,2.7735,0.1358,0.4734,0.6636,0.6203,1.2196,1.7928,0.2319,3.5255,5.5342,0.2169,8.6975,0.2202,1,FilelessStager
1.4114,0.5465,1.2574,0.099,0.3309,0.7488,2.7938,0.0902,0.2354,1.298,2.0473,2.2892,0.7431,0.6217,0.1945,1.7166,0.2117,2.9409,1.2401,0,Benign
3.267,1.0197,2.6645,0.4251,0.0365,0.4974,3.9532,0.5635,0.324,0.1273,0.1626,1.6336,1.2987,0.9099,0.047,0.7615,0.9949,1.2074,0.3626,0,Benign
0.8994,0.7731,0.1028,0.9261,1.4791,3.3122,3.8354,1.197,1.164,0.9483,1.4964,1.2605,0.0544,0.7968,3.6569,2.7343,0.4942,4.2297,0.408,1,FilelessStager
0.0217,1.4513,0.1434,1.7604,0.1596,0.9533,4.101,1.1273,0.7314,1.5108,0.0333,1.6181,0.9096,0.8048,0.1477,0.0543,0.7146,1.9884,1.0594,0,Benign
1.1809,0.6864,0.1584,0.5412,1.488,1.7112,2.9524,2.6922,2.5802,0.6236,1.526,0.3404,0.1788,1.368,0.7925,0.9746,0.3637,0.5442,3.7919,0,Benign
