Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts_s,Flow_Pkts_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Mean,Bwd_IAT_Mean,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts_s,Bwd_Pkts_s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,Down_Up_Ratio,Pkt_Size_Avg,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Active_Mean,Label,Attack_Type
29.652,1.0844,6.7489,5.9647,10.0453,2.0732,6.0236,4.3359,11.726,2.0329,14.5648,14.8324,5.282,12.4865,64.5457,5.3948,1.0936,3.9526,16.5353,14.003,4.9965,5.9399,16.1266,2.3566,1.1351,4.1751,14.1708,2.5982,2.5833,6.5368,0.7168,5.9279,3.1966,7.2533,0.7661,0.3291,5.4603,5.5812,2.6444,2.2071,0,Benign
3.8846,3.0733,6.157,0.8056,1.9269,316.8059,9.3401,10.2977,34.6855,11.5287,45.1534,6.072,2.4109,8.0135,9.2737,8.8607,13.0578,5.0768,4.3645,24.3043,8.3442,6.4386,30.111,17.2698,5.0129,9.525,4.6906,2.2542,17.1634,11.186,408.3906,3.2829,3.5719,7.2024,5.9066,33.7632,10.2283,1.3681,3.8528,983.9697,1,ZeroDay_Anomaly
15.5626,2.8354,4.7486,6.234,3.9413,6.0242,11.7815,7.2536,3.8099,5.2159,1.7491,3.2457,5.9918,11.1619,11.9851,10.6732,12.5537,23.0067,4.2198,11.8105,0.1632,3.7662,3.9241,6.9256,6.6544,31.7471,23.6002,4.9997,29.3915,13.0472,5.0085,5.9884,2.7245,12.3724,8.1334,3.2382,4.066,19.2932,79.832,5.1625,0,Benign
2.8049,7.6861,1.6781,12.2765,47.5066,7.751,0.9491,13.6971,5.3167,16.5368,13.1061,20.3464,1.8801,15.3646,1.9129,19.268,0.4794,17.0838,13.7648,4.0776,2.8399,8.8961,43.8149,24.996,4.1962,13.0434,6.7729,20.1517,5.959,2.7591,18.9492,3.2058,1.8745,6.975,57.6437,11.872,20.8279,7.4465,12.4983,4.8922,0,Benign
11.6404,9.7416,13.892,0.8231,1.4747,18.1833,10.7087,1.9712,2.3277,5.9852,10.0648,15.9142,34.9691,6.4047,22.4702,1.0996,33.5319,3.5133,10.7473,20.1035,13.1824,22.9198,12.0681,10.4944,2.1986,9.0627,13.6035,9.8688,3.7087,10.6619,15.0329,1.1627,0.8,2.0311,11.8034,4.7758,1.7825,12.397,9.2206,20.9186,0,Benign
6.2168,10.4706,11.4458,2.485,4.5018,0.9713,12.5655,8.3146,12.9289,6.3022,39.9278,4.5104,2.5118,15.7441,6.8018,5.5372,16.796,25.7025,9.5741,8.6428,2.4681,57.8519,1.5208,16.3288,11.2797,9.8994,3.1752,2.9175,3.2156,4.3709,75.7083,15.0286,5.0387,6.9129,9.7208,2.9853,2.3742,11.0435,27.1524,1.1495,0,Benign
4.3197,17.5339,4.763,4.251,0.48,42.9533,13.3767,3.4373,10.8283,46.437,13.4154,13.0625,7.7077,18.7851,64.1135,4.9945,15.2274,2.4953,0.6785,3.1883,2.7854,0.8699,9.1396,1.5547,2.4518,8.4521,3.223,31.3298,7.6613,4.2083,22.7046,3.5282,135.3211,5.7863,1.7768,22.3632,3.5205,17.6949,9.9163,6.6908,0,Benign
44.7146,2.4536,1.3948,2.7294,12.7097,22.1664,5.9276,35.5395,1.8648,7.8022,3.5461,3.533,3.5528,74.9999,28.6799,7.4367,16.3189,6.3168,4.1514,1.6826,13.375,3.3118,13.3917,6.9313,5.9257,4.7985,7.1787,11.5443,72.511,16.6615,4.2163,7.8674,1.3457,22.0231,4.7865,9.1878,9.4196,14.3884,2.2967,4.8605,1,BruteForce
3.1584,4.0192,9.6176,4.0869,8.5725,4.74,5.4032,3.2709,4.0237,5.365,0.7269,17.362,15.974,19.9892,17.8684,2.4429,5.5513,9.492,5.0238,3.8374,12.2348,10.1883,3.4381,1.1404,0.6588,9.9075,6.2315,2.6847,5.8777,62.6855,5.5792,11.8734,3.2378,3.4969,1.1151,12.6909,19.1837,3.6167,9.8619,3.4287,0,Benign
5.8045,2.9393,6.3755,5.9177,12.6623,1.8081,12.2841,11.2519,8.4838,10.25,0.8569,7.6301,11.8066,3.7302,33.152,7.0973,13.2894,4.4558,58.4043,29.8813,15.5641,9.4545,14.7908,3.7139,11.9357,0.9948,4.4542,14.9323,17.9195,16.7236,16.7063,10.4156,13.1172,15.3172,1.7567,12.7328,17.4506,7.8925,9.8804,5.013,0,Benign
11.8947,4.7615,2.4848,1.7313,1.5383,2.9166,17.6619,2.9009,8.5189,2.9271,10.4332,2.6515,22.3215,50.6203,1.63,1.8641,6.4316,11.0586,1.926,5.0939,9.5354,28.9207,16.0439,1.2745,25.1881,1.5703,16.1857,0.8378,1.6788,8.236,14.458,0.5424,6.1073,10.2903,1.2579,19.883,11.1511,1.9229,21.9728,7.7065,0,Benign
8.1915,1.2868,14.7578,9.5884,6.0045,18.8532,11.6999,3.3913,8.7124,3.6318,16.4709,30.4858,5.1147,1.1274,35.8419,17.132,5.1717,17.7266,18.4202,12.6832,0.9872,5.9535,2.0461,12.1629,26.0791,32.6092,3.2186,11.4418,3.2488,8.3178,3.3984,1.9878,0.9911,10.8692,27.1248,7.7513,52.8008,9.7875,3.1409,10.867,1,WebAttack
6.2218,1.1707,10.9535,10.7944,7.8803,10.0018,10.4163,6.2403,5.9689,5.8834,11.5368,2.9379,25.9272,8.5676,6.8932,6.5714,4.3198,27.4758,25.8678,2.249,1.6613,16.1563,2.505,3.602,23.8804,15.2445,13.2501,3.4366,13.8452,8.7146,2.6933,9.9625,2.6518,5.2117,17.1531,6.4574,24.125,8.5079,9.0139,2.0115,1,ExploitKit
5.4789,6.35,16.9976,15.6462,11.7329,5.1551,4.6749,3.184,7.9282,3.2733,9.5453,13.438,32.5089,2.7894,2.612,12.8574,6.4425,21.4699,14.3456,3.2002,13.5628,5.9614,10.5024,3.3665,1.2853,26.9824,15.853,8.4188,5.4395,12.9398,5.9826,14.8067,14.3793,2.9195,7.0857,9.2496,4.0119,5.7277,12.9952,6.8838,0,Benign
5.6886,0.8074,7.466,13.5837,15.4231,34.2416,7.3781,2.6635,10.6674,44.0174,35.399,21.983,1.7223,3.018,7.9452,2.4212,37.2975,74.5719,25.2185,2.8684,11.8574,4.6354,10.3729,7.5812,13.1642,2.4136,8.8461,2.0677,19.3809,4.456,18.4917,4.1684,11.7567,16.6615,4.3271,40.5191,4.6527,7.0627,3.8452,8.7859,0,Benign
36.6759,9.359,0.6275,3.1567,20.6636,26.4091,7.7404,4.1557,1.9187,11.9125,16.4182,15.2762,2.4817,4.5724,5.9822,3.7338,12.9653,2.4634,4.4387,6.6792,8.2617,6.0842,23.4816,4.2024,10.9394,16.7815,28.6669,22.7261,7.4014,16.7726,10.698,4.7891,16.9146,1.8789,12.5497,5.3169,28.0022,19.2043,7.1824,4.7777,0,Benign
21.0334,6.4921,7.8048,5.6019,3.2125,13.8745,31.1327,6.4508,30.0649,26.066,6.6872,31.6993,2.4282,4.8512,9.05,10.6765,7.2974,3.8176,3.4421,2.8777,3.4523,4.3038,2.2809,3.6456,4.9672,37.0523,5.0032,7.2769,4.0509,4.4205,22.7999,19.3498,49.8381,68.2614,19.9791,1.4247,0.6225,8.8893,338.0638,1.8839,0,Benign
1.3981,2.7788,5.5432,10.6217,13.0359,1.8069,18.5976,6.0344,16.4621,10.4093,4.8986,1.8817,2.0073,110.5771,25.0583,21.6023,5.3883,5.2693,1.2248,1.6149,2.7737,2.7954,12.606,11.3391,1.9434,29.9949,1.9192,17.6427,5.3919,4.9019,3.8133,16.5525,2.3042,2.8404,3.7091,5.123,4.3401,3.172,1.5048,11.6386,0,Benign
2.6921,5.4103,30.7752,1.5062,7.1339,25.3783,21.7268,16.6239,23.9555,63.135,4.8871,8.2488,1.361,10.0926,4.7363,8.1558,3.6683,7.0162,3.5076,1.8229,4.0126,5.1289,2.7623,43.3031,12.0038,0.9075,4.9001,8.2296,7.06,10.5872,0.9599,12.6028,64.5324,30.138,3.3882,7.7128,1.3219,1.9901,2.4095,5.4233,0,Benign
2.1913,6.9686,14.5434,15.6741,33.808,6.8541,47.5009,9.9488,12.5871,1.6702,34.908,7.2919,57.8218,1.0495,2.0359,6.284,10.1137,4.5176,55.6745,14.6228,0.6567,26.6349,5.7053,14.503,4.1732,7.1285,27.9352,33.7891,6.5008,28.1368,23.2411,16.826,7.3949,13.3445,4.6823,10.0282,9.4833,8.2507,3.8984,30.1139,0,Benign
4.7653,5.2327,3.9617,8.9106,0.7676,4.5457,0.9017,5.2542,11.8342,3.267,3.4468,0.5444,17.0569,5.9157,53.933,14.2095,4.6013,4.7813,4.3784,3.5337,4.9054,4.5576,24.2343,7.6707,31.0282,4.8916,13.9069,20.6431,11.7089,11.3433,11.502,22.7079,2.3908,22.7976,2.6558,38.2343,3.9778,88.2892,2.3869,5.4553,0,Benign
25.4955,11.3547,4.4495,2.8676,9.2569,3.6284,7.2179,17.5773,4.1998,4.9465,26.527,8.4966,40.8783,54.0544,80.7297,1.6696,7.6861,4.5146,3.7411,4.5562,2.4413,4.2486,18.5406,11.9125,4.6278,1.1581,27.3053,8.4317,2.1987,20.6419,2.3024,28.5883,10.6393,32.6721,1.6328,16.6097,4.6795,7.238,40.2489,20.3693,0,Benign
3.2979,11.7673,17.6915,3.0573,5.3956,4.0049,22.212,7.9544,7.5106,12.1666,11.9963,7.2554,13.2711,17.1475,12.6613,11.8446,5.2822,2.921,16.9671,1.3546,8.2721,2.0832,2.9524,3.5319,5.0897,11.8138,4.491,13.7546,36.6454,11.2382,0.8576,2.5139,4.0284,6.5288,21.3746,6.1136,3.815,23.3167,4.1011,17.0189,0,Benign
11.7431,1.2878,22.2127,5.9999,13.5597,5.464,3.8166,3.9158,26.6974,15.2074,5.5119,25.6112,3.4554,3.5554,1.139,3.0523,7.7474,5.0944,3.1086,5.1282,3.4524,2.705,4.6893,10.7575,5.9986,8.5962,26.6841,7.3757,2.3282,17.3374,1.9803,11.6479,5.5904,4.4227,0.502,2.7666,1.9311,6.0951,6.4827,13.0525,0,Benign
22.447,4.3733,15.8631,2.4558,9.3322,7.3069,5.2438,38.0162,9.7501,9.9462,7.2525,4.4606,36.6823,6.7335,6.0888,4.1109,2.6723,51.4451,3.1313,22.7907,4.5827,6.0309,8.2037,4.3277,42.1529,10.3529,1.9923,12.61,2.876,30.2397,2.9804,31.6055,4.0366,8.682,5.1691,78.6778,3.0002,9.4986,13.0992,14.4077,0,Benign
0.8476,13.9473,7.0668,42.5785,37.2678,1.9329,1.5529,0.9362,4.2341,7.9759,2.7483,6.1875,6.6535,6.5001,3.4423,3.3293,6.3826,3.8069,5.0404,10.9122,1.812,8.9067,26.5223,2.3962,26.7162,11.5602,2.4331,17.5561,15.8006,3.2455,6.9253,7.6866,18.2967,22.7011,2.7831,8.0609,9.9557,3.1781,11.5811,1.3824,0,Benign
4.3126,5.4792,8.3223,2.2484,11.3708,7.5042,18.5282,4.8877,7.6251,11.8029,32.3589,1.9304,10.2825,4.596,8.1863,18.0258,5.9362,5.7078,2.9525,16.967,10.9354,4.1444,3.2119,26.4487,6.4029,15.5823,1.0236,25.5884,4.0983,23.8809,7.5163,3.9768,13.8106,2.2686,6.4806,15.1903,2.277,16.9257,8.9362,5.65,0,Benign
1.4944,7.9236,29.8383,14.872,10.5004,8.4424,8.2306,1.4453,2.2713,18.0869,1.6412,40.6448,11.6276,6.5478,3.735,3.3728,8.5139,0.7773,22.5276,9.3263,3.0331,9.7483,22.7488,9.5782,4.297,30.6498,20.8801,5.897,8.7707,4.8969,11.1532,8.544,7.2834,16.3456,23.4189,62.7438,10.9502,1.8319,4.2391,7.6662,0,Benign
3.9291,15.6288,17.594,23.4861,3.815,12.6366,34.8324,9.4995,5.4773,5.3517,3.3871,5.9408,7.9558,7.2474,0.8613,7.3072,4.5798,5.1201,2.7219,45.7478,4.1616,2.5452,7.7979,18.7871,6.6552,5.0796,3.7248,11.8491,1.4367,5.8843,37.7242,6.8373,12.2913,3.0351,18.9539,1.4149,1.9095,14.9909,7.0495,1.9717,0,Benign
11.9988,8.4693,9.8969,1.2455,7.5003,30.205,4.0281,6.1332,7.7156,8.5055,20.4609,2.8,1.7149,3.4248,12.4731,5.5717,3.5738,16.1891,2.6735,5.2179,63.9335,5.6446,1.8432,2.7134,6.9461,6.7946,18.0467,5.8844,14.1159,6.1531,7.8092,3.4837,4.1859,9.2396,19.7543,2.2101,16.0217,9.9759,9.166,6.6702,0,Benign
1.3204,8.0397,55.0219,7.1509,3.8715,11.8587,3.0258,28.8791,11.8627,7.9354,3.1368,1.2715,5.3514,7.3607,1.0278,2.9912,22.0049,8.3351,33.1114,7.6632,3.7509,2.8445,13.0371,6.2904,8.5274,23.6129,16.8209,12.6535,15.3193,19.57,4.9553,1.3152,1.9823,13.0963,1.481,3.8265,9.2682,89.1351,2.3047,23.5858,0,Benign
7.4293,4.2689,8.2574,11.1847,1.2456,2.3716,5.0289,6.9825,13.6574,11.1137,2.8602,15.5451,8.3131,6.9802,7.3737,6.3491,3.2335,6.6273,15.422,41.636,23.4217,16.4583,1.2526,2.855,10.8939,31.5581,3.6434,36.1099,5.6031,7.7792,1.3669,5.1315,9.603,5.7413,5.1497,7.6208,37.4227,0.668,1.6305,10.9065,0,Benign
1.2673,3.8148,3.3386,3.4543,4.7601,13.5714,2.166,6.3302,12.2049,22.0469,5.9172,14.4914,1.2968,3.9789,10.2888,5.7764,11.9098,35.5434,12.2099,2.111,9.6892,8.1373,6.4181,4.6757,4.8506,5.7794,96.5283,8.8134,5.1266,7.6924,24.1071,11.1158,0.8847,15.0826,6.585,30.5876,3.9594,2.6259,14.1091,3.8467,0,Benign
0.2618,5.8174,3.1061,17.2431,3.847,5.2783,1.6962,0.7183,9.3371,14.7953,2.8471,27.0958,10.5486,16.4569,123.6807,52.6621,19.6515,4.3518,13.4812,6.666,5.2792,1.5768,13.8838,1.4754,19.4548,6.6741,16.0006,15.6375,3.641,48.2644,7.1676,25.5886,1.8189,1.7038,7.0671,2.6853,6.2733,3.8583,5.9571,13.1261,1,DDoS
2.5728,10.0144,11.1745,8.216,3.3505,3.4443,4.3968,50.2652,4.5813,9.4031,13.5115,18.4799,3.7871,2.2985,297.8819,5.0826,11.3316,11.158,14.3286,5.872,3.6789,5.1056,9.5972,3.2767,3.0245,16.2822,16.2062,10.869,26.1148,5.2472,21.3505,35.1148,49.9661,3.0027,14.9188,13.8195,6.2152,2.2684,1.9725,6.6569,1,DoS
14.8396,6.063,3.1198,26.981,5.2239,9.8569,2.3213,11.3591,39.332,17.4774,10.5683,2.5566,7.2911,10.7559,8.4063,47.4828,1.2218,5.4533,56.7361,4.6308,2.5651,28.8384,17.2895,9.0458,37.3727,9.7412,7.3595,1.99,33.1812,12.9117,2.6795,14.0944,13.3473,2.8981,3.2042,12.8655,4.1626,2.394,8.723,8.9834,1,Bot
2.0686,2.8767,4.3429,11.0599,6.1844,15.4597,57.508,6.05,4.6736,6.7299,11.3079,18.6176,4.6867,28.5125,7.3295,5.1344,13.2701,6.6161,2.2709,11.5967,66.5175,5.8859,2.3399,8.45,13.6419,10.8289,2.0879,0.9798,2.2346,8.8443,1.4123,76.816,49.786,5.6346,29.0766,7.7301,1.5724,8.2306,11.5379,8.6547,0,Benign
7.3817,4.6753,1.174,16.751,88.9004,2.6559,11.0312,41.1441,6.3425,23.8129,0.5873,3.2579,4.1645,2.0735,4.3919,31.2243,5.9224,14.0184,6.7804,10.3773,21.9629,2.5814,2.435,5.6935,32.0932,6.0453,7.632,4.0586,3.5204,45.6628,1.3603,34.3532,10.8358,3.2108,38.6581,3.1757,5.4219,7.9643,12.1453,5.4882,0,Benign
5.853,1.5747,22.6025,19.2136,4.4036,24.9981,4.5536,9.5769,29.1146,3.9774,41.2869,15.9617,13.857,7.5833,6.6431,29.056,5.0049,6.3945,23.6489,5.7723,6.9758,16.9686,50.3202,5.8074,16.2933,4.0189,8.5873,5.359,12.7373,6.6043,15.9742,87.4196,9.4499,10.5588,4.5582,5.0414,7.7323,10.1098,13.672,13.2663,0,Benign
9.7159,2.6513,12.5438,6.6165,37.5321,24.1831,11.7099,3.734,13.5774,3.4859,1.5196,9.5008,5.4016,0.884,5.8267,36.2731,11.8336,6.0962,8.8558,9.8545,7.7158,43.1826,23.7592,5.4406,6.4688,7.2171,6.9087,9.1551,5.9312,2.139,39.7757,3.094,1.2674,13.2995,10.8551,3.7896,17.6144,17.4144,3.5232,9.217,0,Benign
17.827,2.2072,12.0736,1.3086,5.1798,28.3187,6.2547,1.5248,9.2631,11.2341,7.2303,22.9394,25.1629,9.7521,5.3216,6.0252,5.5053,61.2542,8.9658,21.8979,18.284,18.5067,4.3256,3.0766,2.4225,7.3753,13.9797,14.8452,2.5499,5.18,2.7047,6.6781,8.5393,26.0816,9.6387,11.1166,14.8917,6.4857,4.8215,34.7979,0,Benign
92.8201,15.7413,4.4334,16.9132,3.8554,10.3734,5.8638,12.116,12.4528,3.0916,24.8361,47.3012,4.0383,2.6829,60.2481,9.8305,15.2534,10.5766,8.39,6.9691,3.7025,11.6134,7.8043,15.996,4.0508,44.1165,4.3268,4.3325,17.013,8.1007,10.0777,11.5581,7.5177,14.3471,19.3743,4.8993,1.7453,8.1222,3.3085,2.4387,0,Benign
5.2625,1.6776,3.4839,0.7798,8.8609,12.1471,7.5934,10.9669,9.5477,26.6421,5.8514,14.2943,5.0158,4.4057,9.0458,6.1749,5.8291,2.78,12.6297,10.5331,14.6092,14.8801,6.3111,2.7446,1.9579,7.8878,1.6783,33.6476,15.6353,3.2583,2.2384,13.1999,18.6589,4.5945,29.5362,9.2529,11.0219,2.7344,20.5395,1.9864,0,Benign
8.9228,7.4837,10.895,17.1165,4.2088,8.6803,12.7481,1.8935,3.918,11.3806,3.4583,2.6681,6.1854,5.7845,558.2944,4.3861,18.5731,3.3384,15.3303,7.0681,20.5471,3.4694,3.2488,1.7345,13.1212,0.594,20.6808,13.2124,32.7476,21.9979,2.6418,33.3726,1.2406,10.5246,9.1858,9.4457,44.7828,0.9999,11.3979,13.0154,1,DoS
3.0813,2.0565,1.8389,2.4536,2.4008,38.5551,2.9146,1.2493,5.3648,17.554,5.2881,52.6529,10.8913,1.2553,9.2498,17.6686,6.9618,28.5249,3.7149,20.0337,1.219,8.6124,1.4803,4.3592,7.9175,15.459,4.656,1.9532,9.644,1.6585,27.2144,1.9378,3.2911,2.8894,11.5518,5.2504,40.2208,6.6601,5.33,5.0595,0,Benign
6.5451,0.7546,9.0114,13.7696,9.6311,3.7647,5.4361,3.228,1.1302,2.8477,3.2345,5.6504,8.2837,5.1074,4.3105,15.8674,2.9791,2.5659,4.1133,6.3467,12.7585,9.7267,3.3656,5.8117,0.9845,8.6915,6.4265,21.4979,1.6694,22.9976,6.8556,4.4301,12.5824,27.0292,26.5249,4.7106,4.7544,13.7401,17.7385,4.2505,0,Benign
4.5424,7.4188,6.7062,5.5093,7.1099,41.1233,8.6148,2.3287,3.8701,2.7989,7.4166,45.1591,2.6485,57.6582,6.6677,9.5283,6.6036,3.5555,10.4277,5.4138,0.9092,18.0308,9.9872,3.2886,4.7214,1.9839,29.9972,10.7585,0.9192,3.6146,29.2493,6.8747,0.5105,2.5118,1.3547,7.1496,1.3819,43.2716,1.6462,2.852,0,Benign
4.7874,10.2131,18.7656,17.1301,35.7372,32.486,6.1045,16.6281,9.7115,7.2565,3.7975,11.5212,4.2225,28.5743,23.093,3.2523,9.8994,7.2578,4.7919,15.8545,23.0285,1.2682,3.3033,3.2639,12.2435,5.3892,3.6522,7.507,16.4779,9.9856,78.7805,19.2696,1.5391,3.1707,16.3153,18.9377,1.7358,2.9052,26.316,9.2571,0,Benign
9.3705,39.647,2.2007,14.6132,19.2098,15.1231,9.4969,3.1082,11.2646,4.004,6.1381,6.6187,7.4723,21.4013,15.2324,10.6506,53.8953,9.6043,2.2664,17.2078,14.7199,8.5492,34.5905,7.9793,32.9294,8.7079,4.0763,21.3443,3.8309,5.3513,14.6268,4.0059,34.0274,8.1817,4.577,26.1344,1.1149,2.6678,2.6657,2.6239,0,Benign
