cpu_usage_percent,memory_usage_bytes,page_faults_sec,handle_count,thread_count,io_read_bytes_sec,io_write_bytes_sec,syscall_freq_create_process,syscall_freq_open_process,syscall_freq_allocate_vm,syscall_freq_write_vm,syscall_freq_protect_vm,syscall_freq_create_thread,syscall_freq_load_image,syscall_freq_registry_write,syscall_freq_network_connect,suspended_thread_ratio,token_elevation_status,code_injection_indicators_score,unpacked_code_entropy,parent_child_anomaly_score,Label,Attack_Type
39.945,1321793.2942,4.8821,3.1968,2.544,3.2068,0.8998,3.6503,1.7853,2.5378,0.2325,4.0209,0.6624,1.0677,1.9037,1.9114,2.2184,2.67,1.9798,5.3342,1.9576,0,Benign
8.4345,4513662.1829,1.2689,1.3316,1.14,1.196,0.2226,0.4364,1.6797,3.8146,1.9073,10.6635,3.0529,0.6693,0.913,57.5766,6.3669,3.7955,0.4009,4.9884,0.9136,1,Rootkit_Behavior
1.5388,38174.339,1.479,3.1439,3.3204,1.2697,1.2971,6.318,3.0346,1.5187,1.0798,1.4422,0.9254,2.1762,0.6366,0.904,0.2989,0.95,1.0813,4.4378,4.5905,0,Benign
0.284,2342955.9511,2.0286,1.4515,0.2929,2.2125,3.5515,1.8915,0.7428,2.5631,2.5042,1.7745,0.7502,2.5417,0.9949,0.5443,9.7034,6.384,0.75,7.076,0.7757,1,DefenseEvasion
0.8557,1556792.8519,1.8488,4.1582,1.0557,3.4256,2.3688,26.7592,0.7055,2.1729,2.8999,1.1332,0.9323,8.2975,0.3158,2.0149,1.8111,1.2565,1.4659,4.8036,9.9043,1,Execution_Malware
17.3812,40657148.106,0.7895,1.0457,0.2648,4.2315,0.6398,1.0686,3.0991,2.6741,0.6123,1.4429,1.6072,5.439,4.8459,1.3025,0.4797,0.842,1.6236,4.9128,1.7522,0,Benign
22.8482,823622.0492,1.899,3.8648,0.5999,0.3657,0.5747,1.4811,3.6871,0.758,0.9482,2.5793,2.9366,1.1365,2.1684,1.0021,3.5005,1.8111,1.922,5.6665,0.7349,0,Benign
3.7566,731258.7357,2.1123,4.5646,3.2233,0.82,1.0904,1.0582,1.6982,1.3162,3.3719,0.1768,1.3168,0.8272,2.5526,4.1895,2.9146,3.4784,0.3556,4.7989,2.1757,0,Benign
3.157,13864144.9679,0.4397,1.4825,1.1113,1.3792,2.3008,0.4637,0.8143,2.6829,1.0147,1.2699,1.0416,1.162,0.5647,3.3599,2.5005,0.8631,0.21,5.4147,4.0929,0,Benign
0.0879,11435286.2715,0.5108,2.7972,1.1124,0.5117,1.2481,1.0999,1.0843,3.3494,1.8292,0.684,0.6541,2.0767,0.5895,1.4248,2.7918,0.663,2.4334,4.6511,2.717,0,Benign
4.7805,6314249.9707,2.3554,0.2389,2.9154,1.9563,1.1821,0.5917,2.3002,0.7826,2.5366,3.2325,1.2916,0.8985,1.6819,0.4756,2.9528,0.4014,1.7065,4.3188,1.9114,0,Benign
0.1093,637975.9641,1.1331,1.6093,6.6008,2.2503,2.5665,0.8785,5.6557,0.4318,0.3673,2.0733,0.9846,1.2462,2.829,1.1589,3.5156,1.1143,5.7069,4.5102,0.3145,0,Benign
0.7161,86619.9223,0.8302,2.2445,1.3215,3.1125,0.5142,1.9011,0.1046,1.7099,1.0986,0.5005,1.8314,2.4088,1.0767,2.1952,1.8187,1.826,0.9382,5.8586,0.9014,0,Benign
0.0016,2200217.2709,6.7148,1.5206,5.2105,0.2673,1.9194,5.0272,0.3558,0.3638,3.9508,1.2035,3.0633,0.6075,1.4081,1.3923,4.1736,2.7615,0.992,5.2302,1.4944,0,Benign
1.1446,2724645.1092,2.1574,0.5229,1.6309,1.3619,2.4486,1.432,0.41,1.2097,0.1504,0.8669,1.4138,1.4246,1.3939,0.7219,2.7541,0.1878,1.3281,5.7958,1.6134,0,Benign
13.2766,296256.2502,1.705,2.2968,1.5288,2.6293,1.7794,1.6435,0.7474,0.8238,2.4477,1.3485,0.3318,3.9022,2.6255,2.1516,2.5933,8.8422,2.977,5.2494,0.6794,0,Benign
1.1795,11705339.5267,2.9204,4.768,2.9013,0.4939,0.2621,0.9778,2.2098,2.6038,1.9537,3.6058,0.3734,1.2522,3.5363,1.6779,0.8172,2.5026,0.2929,5.0455,2.6175,0,Benign
0.9059,2344812.6861,0.8066,1.5967,5.4416,1.5209,0.0891,0.5967,0.4925,0.9985,0.722,1.037,1.3144,1.7182,1.4552,2.7451,1.8392,3.1141,0.4081,6.0467,0.8513,0,Benign
1.9675,1122718.7936,0.7033,1.636,1.407,1.5639,1.4365,1.8001,1.8146,0.6059,0.9126,4.2184,0.5646,1.8808,1.24,1.704,2.1287,1.3821,2.4473,5.5971,2.4589,0,Benign
0.6891,43865116.5362,0.9115,0.6166,1.4445,5.8029,0.8985,1.83,0.502,3.8294,1.2546,2.39,3.7566,0.7189,1.19,1.0357,1.6011,5.0216,1.1178,4.7547,0.7437,0,Benign
20.095,2811994.7787,1.8237,2.3569,0.9088,1.4661,5.6818,0.8019,4.3213,1.016,0.526,0.6151,0.9522,1.8804,3.948,1.1705,2.3605,3.2815,0.9553,5.6596,0.805,0,Benign
5.3376,2171407.9952,1.4479,0.7759,1.892,1.7254,0.3773,2.9788,1.6495,2.4958,1.5148,0.6102,0.9467,2.5136,0.2691,2.1976,0.9062,1.1483,0.9572,5.0113,7.3784,0,Benign
2.4123,50171662.5863,1.889,4.6128,0.7758,1.0437,4.9941,4.6436,0.2657,2.8944,1.1343,1.8223,0.5732,0.9631,0.8405,1.3881,4.9789,2.0866,2.676,4.5786,1.6426,0,Benign
2.1507,9325764.9091,35.6269,0.7307,0.9959,2.0565,1.7593,1.732,0.7994,28.0929,0.1329,0.4577,5.8047,3.5397,3.3086,1.2141,1.068,1.064,1.9351,5.7907,10.404,1,ZeroDay_Process
3.4543,10911741.2323,1.7762,1.6395,1.3151,3.8117,2.3755,1.6228,1.048,3.5589,1.3277,2.7851,0.7264,0.2521,0.6929,2.9606,0.9129,0.6762,3.9927,4.7409,0.8685,0,Benign
0.4083,780620.1463,1.9991,2.3795,1.7813,2.4645,2.1614,0.8469,1.1461,0.6093,4.5043,2.3474,0.6056,4.7159,1.7503,1.5087,1.6893,3.507,1.9897,5.3406,0.7033,0,Benign
2.0811,42408108.1833,2.5127,2.2479,2.1469,9.0998,2.8533,1.406,23.7626,0.9339,5.7394,2.0867,5.4058,0.7097,1.2595,0.9808,3.528,2.0495,4.5048,5.2298,2.7822,1,CredentialDumping
