logon_frequency_daily,logoff_frequency_daily,failed_logon_ratio,after_hours_activity_ratio,weekend_activity_ratio,remote_logon_count,resource_access_count,file_copy_to_usb_bytes,email_sent_count,email_attachment_size,email_external_recipient_ratio,web_uncategorized_visits,web_download_bytes,privilege_escalation_attempts,unusual_machine_access_pattern,off_baseline_app_usage,sentiment_negative_score,concurrent_logon_count,geo_velocity_anomaly_score,Label,Attack_Type
1.0318,0.032,0.0852,0.6687,1.0296,0.8725,0.5012,678.5707,0.8879,0.9077,1.245,1.3827,36662.0772,0.0851,1.2965,1.1615,0.7695,1.0,0.2409,0,Benign
1.0343,0.3439,0.0302,0.7781,0.9142,1.1576,0.4473,553.7647,1.0363,1.4874,0.9563,1.2346,51390.535,0.0985,1.8384,1.4526,1.5303,1.0,2.2096,0,Benign
1.6429,0.4178,0.1491,0.7975,0.9837,1.072,0.1723,3.1243,1.3569,0.0965,0.5046,1.2485,8359.6899,0.0908,0.8433,0.9492,1.9837,1.0,0.9296,0,Benign
0.8724,0.7501,0.1298,1.1222,0.1458,1.877,0.9916,68.3242,2.1075,1.5767,0.8926,1.2675,237010.8079,0.0516,1.5394,1.4866,0.5295,1.0,1.7156,0,Benign
0.5947,1.5631,0.0554,2.1234,1.2322,1.475,1.6411,1.2192,1.2305,1.3246,0.1966,1.2619,536.5145,0.1622,1.0286,1.2134,0.581,1.0,0.9227,0,Benign
0.6432,1.6759,0.1325,1.2599,0.9638,1.0909,1.2554,101.9176,1.561,1.0198,0.6433,0.948,12676.2514,0.0942,1.6683,1.545,0.0843,1.0,0.5588,0,Benign
0.3972,1.5696,0.0908,0.8085,1.5678,1.5823,0.8607,21.2858,0.9359,1.4953,0.5396,1.555,1095090.6724,0.0985,1.0133,0.2516,1.3171,1.0,0.9562,0,Benign
0.2499,0.7584,0.0824,1.063,0.5013,0.7193,0.948,721.0145,0.8972,0.584,0.7917,1.4908,1989763.6946,0.1725,0.8232,0.7042,1.1145,1.0,0.521,0,Benign
2.0643,1.4136,0.0544,1.1933,1.5656,0.915,1.0496,282.0162,1.2082,1.0704,0.5075,1.6625,16572.2682,0.1323,1.0976,1.8265,0.9982,1.0,0.9167,0,Benign
0.4695,1.5759,0.0354,2.0945,1.5348,1.0902,0.9433,38.489,1.532,1.6727,1.3961,1.6758,27158.3631,0.0304,0.2711,0.926,1.1265,1.0,1.8154,0,Benign
1.0975,0.9002,0.0105,0.9498,0.2548,0.7202,0.676,3998.8876,1.2568,1.7918,0.9886,0.722,7489.7465,0.0428,0.6693,1.0705,0.7125,1.0,1.7254,0,Benign
0.6506,1.478,0.0473,1.3479,0.9844,1.4045,1.7893,23.9328,0.6474,0.5982,1.4757,1.0567,17149.7855,0.1873,1.8297,1.1524,1.3853,1.0,1.37,0,Benign
0.9862,0.8278,0.0375,1.7414,0.7621,1.1293,0.5963,253.2091,0.9557,0.8665,0.8864,1.3793,37775.9986,0.0936,0.7773,0.2967,0.9017,1.0,1.1992,0,Benign
1.5975,0.9364,0.1016,0.8511,1.2142,1.4796,0.4819,978.9798,0.0607,1.3159,1.8196,1.3011,6544.3234,0.0714,0.4395,0.9686,0.7737,1.0,0.5117,0,Benign
0.8231,0.8896,0.0778,0.863,0.6794,0.4862,0.4444,139.5008,1.406,0.4533,1.1495,1.5471,139435.4112,0.1455,1.1111,0.5876,1.3139,1.0,0.4541,0,Benign
1.1288,0.9035,0.0716,1.2703,0.9001,1.1935,0.8278,114.557,0.9791,0.8424,0.8935,1.1986,24932.0428,0.1015,2.0748,0.8544,0.9393,1.0,1.2197,0,Benign
0.7054,1.0767,0.4252,1.4735,0.3597,1.5434,4.0776,279.7584,0.4014,0.7769,1.3462,0.6263,155286.6181,6.0822,1.4418,7.4187,0.451,0.597,0.786,1,PrivilegeAbuse
0.8932,1.2099,1.615,1.6299,1.2092,0.9065,0.5395,86.8111,1.1836,1.4369,1.049,1.4184,44639.1342,0.9643,8.7194,3.9085,5.7367,0.8423,1.5784,1,InsiderThreat_Sabotage
